epoch,time,train/box_loss,train/seg_loss,train/cls_loss,train/dfl_loss,train/sem_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),metrics/precision(M),metrics/recall(M),metrics/mAP50(M),metrics/mAP50-95(M),val/box_loss,val/seg_loss,val/cls_loss,val/dfl_loss,val/sem_loss,lr/pg0,lr/pg1,lr/pg2
69,3397.8,0.89335,1.73736,0.89623,0.00932,0.59104,0.81535,0.70035,0.77807,0.62536,0.68527,0.5926,0.63161,0.46165,0.93429,1.57862,0.78662,0.0141,0,0.000136276,0.000136276,0.000136276
70,3444.29,0.89112,1.73088,0.913,0.00978,0.63101,0.77817,0.72874,0.78768,0.62771,0.66471,0.63088,0.63935,0.46385,0.95495,1.57802,0.77641,0.01472,0,0.000132147,0.000132147,0.000132147
71,3493.34,0.85089,1.66722,0.84686,0.0087,0.56434,0.75089,0.71069,0.77612,0.62642,0.66127,0.60803,0.63943,0.46917,0.91358,1.56186,0.76719,0.01379,0,0.000128019,0.000128019,0.000128019
72,3542.02,0.91303,1.85118,0.90963,0.00972,0.61512,0.7888,0.74032,0.78487,0.6275,0.69008,0.63142,0.6448,0.46425,0.93991,1.65433,0.78696,0.01466,0,0.000123891,0.000123891,0.000123891
73,3590.33,0.83627,1.64752,0.80129,0.00898,0.56198,0.84829,0.71828,0.77623,0.62789,0.74282,0.61654,0.63245,0.4591,0.93203,1.67217,0.77262,0.01425,0,0.000119762,0.000119762,0.000119762
74,3639.68,0.89563,1.72574,0.88551,0.00971,0.61869,0.73482,0.75962,0.78477,0.63825,0.64382,0.65564,0.65468,0.45177,0.925,1.62372,0.77753,0.01382,0,0.000115634,0.000115634,0.000115634
75,3692.27,0.86744,1.76076,0.88501,0.00943,0.58544,0.86525,0.73154,0.7902,0.64177,0.77453,0.63684,0.66486,0.47821,0.93575,1.57986,0.76256,0.01386,0,0.000111506,0.000111506,0.000111506
76,3739.2,0.86234,1.6642,0.85562,0.0095,0.57321,0.76712,0.75134,0.78648,0.62841,0.69429,0.63721,0.6511,0.47791,0.94677,1.59399,0.77073,0.0147,0,0.000107378,0.000107378,0.000107378
77,3788.89,0.83793,1.65767,0.82736,0.00861,0.55728,0.7174,0.781,0.79562,0.64524,0.624,0.66833,0.65206,0.47481,0.929,1.63289,0.75623,0.01399,0,0.000103249,0.000103249,0.000103249
78,3840.97,0.82815,1.64288,0.80082,0.00874,0.53463,0.74187,0.77075,0.79379,0.64436,0.65023,0.66846,0.65816,0.47645,0.91922,1.50126,0.78688,0.01394,0,9.91209e-05,9.91209e-05,9.91209e-05
